miRDeep2 score	estimated signal-to-noise	excision gearing
10	3	1
9	2.8	1
8	2.7	1
7	2.6	1
6	2.5	1
5	2.3	1
4	2	1
3	1.9	1
2	1.9	1
1	3.3	1
0	1.3	1
-1	0.8	1
-2	0.5	1
-3	0.5	1
-4	0.6	1
-5	0.7	1
-6	0.9	1
-7	0.9	1
-8	1	1
-9	1	1
-10	1.1	1
