miRDeep2 score	estimated signal-to-noise	excision gearing
10	5.3	1
9	5	1
8	4.3	1
7	4	1
6	3.8	1
5	3.4	1
4	3.1	1
3	2.6	1
2	2.6	1
1	4.6	1
0	2	1
-1	1.1	1
-2	0.7	1
-3	0.5	1
-4	0.6	1
-5	0.7	1
-6	1	1
-7	1	1
-8	1	1
-9	1	1
-10	1.1	1
