miRDeep2 score	estimated signal-to-noise	excision gearing
10	4.5	1
9	4.2	1
8	3.7	1
7	3.4	1
6	3.2	1
5	3.1	1
4	2.9	1
3	2.6	1
2	2.4	1
1	5.4	1
0	2.2	1
-1	1.3	1
-2	0.8	1
-3	0.6	1
-4	0.6	1
-5	0.7	1
-6	0.9	1
-7	0.9	1
-8	1	1
-9	1	1
-10	1.1	1
