miRDeep2 score	estimated signal-to-noise	excision gearing
10	2.9	1
9	2.8	1
8	2.6	1
7	2.6	1
6	2.4	1
5	2	1
4	1.9	1
3	1.7	1
2	1.7	1
1	3.1	1
0	1.4	1
-1	0.9	1
-2	0.5	1
-3	0.5	1
-4	0.6	1
-5	0.7	1
-6	0.9	1
-7	0.9	1
-8	1	1
-9	1	1
-10	1.1	1
