miRDeep2 score	estimated signal-to-noise	excision gearing
10	4.2	1
9	3.7	1
8	3.4	1
7	3.1	1
6	3	1
5	2.9	1
4	2.9	1
3	2.7	1
2	2.4	1
1	3.4	1
0	1.7	1
-1	1	1
-2	0.7	1
-3	0.6	1
-4	0.6	1
-5	0.7	1
-6	0.9	1
-7	0.9	1
-8	1	1
-9	1	1
-10	1.1	1
