miRDeep2 score	estimated signal-to-noise	excision gearing
10	3.8	1
9	3.7	1
8	3.6	1
7	3.6	1
6	3.4	1
5	3.1	1
4	2.8	1
3	2.6	1
2	2.6	1
1	4.3	1
0	1.5	1
-1	0.9	1
-2	0.5	1
-3	0.5	1
-4	0.6	1
-5	0.7	1
-6	0.9	1
-7	0.9	1
-8	1	1
-9	1	1
-10	1.1	1
