miRDeep2 score	estimated signal-to-noise	excision gearing
10	2.7	1
9	2.6	1
8	2.3	1
7	2.2	1
6	2.2	1
5	2.1	1
4	2	1
3	1.9	1
2	1.8	1
1	3.9	1
0	2	1
-1	1.1	1
-2	0.7	1
-3	0.5	1
-4	0.6	1
-5	0.7	1
-6	1	1
-7	0.9	1
-8	1	1
-9	1	1
-10	1.1	1
